Wakunaga of America Co., Ltd/Вакунага Америка Кo., ЛТД; Вакунага Америка ЛТД
Cosmo S.p.A./ Космо С.П.А.; Космо С П А
Nabros Pharma/ Наброс Фарма; Наброс Фарма
Natur Produkt/ Натур Продукт; Натур Продукт
ФКП "Армавирская биофабрика"; ФКП Армавирская биофабрика
ЗАО "Сантоника"; Сантоника
Queisser Pharma GmbH/ Квайссер Фарма ГмбХ; Квайссер Фарма ГмбХ
Santegra/ Сантегра; Сантегра
McNeil AB/ Мак Нил АБ; Мак Нил АБ
Catalent France  Beinheim SA/Каталент Франс Бейнхейм СА; Каталент Франс Бейнхейм СА
ЗАО "Силма"; Силма
Rusan Pharma Ltd./ Русан Фарма; Русан Фарма
Микроген НПО, ФГУП/ Биомед, Пермь; Микроген НПО ФГУП Биомед Пермь
АО "Бальзам"; Бальзам
Чангжоу Хуалиань Хэлс ДрессингКо., ЛТД; Чангжоу Хуалиань Хэлс ДрессингКо ЛТД
ООО "Деко Компания"; Деко Компания
ЗАО "Аквион"; Аквион
Unither Liquid Manufacturing/ Юнитер Ликвид Мануфэкчуринг; Юнитер Ликвид Мануфэкчуринг
Bristol Myers SQIBB/ Бристоль Майерс Сквибб; Бристоль Майерс Сквибб
ООО "Р.Косметик"; Р Косметик
ООО "Розлекс Фарм"; Розлекс Фарм
ООО "Фармамед"; Фармамед
Sanofi Ilac Sanofi ve Ticaret A.S./ Санофи Илач Санайи ве Тиджарет А.Ш.; Санофи Илач Санайи ве Тиджарет А Ш
Micro Labs Ltd./ Микро Лаб; Микро Лаб
Микроген НПО, ФГУП/ Иммунопрепараты; Микроген НПО ФГУП Иммунопрепараты
Alfa Wassermann SpA/ Альфа Вассерманн; Альфа Вассерманн
Stada Arzneimittel AG/ Штада; Штада
ЭйСиЭс Добфар С.п.А./Факта Фармачеутичи С.п.А.; ЭйСиЭс Добфар С п А Факта Фармачеутичи С п А
ОАО "Фармстандарт-Томскхимфарм"; Фармстандарт Томскхимфарм
Hexal/Salutas Pharma/ Гексал/ Салютас; Гексал Салютас
ООО Фарминтегро; Фарминтегро
ООО "Биоинвентика"; Биоинвентика
Hemomont d.o.o/Хемомонт д.o.o; Хемомонт д
ООО "Фермент Фирма"; Фермент Фирма
СООО "Лекфарм"; С Лекфарм
