КРКА-Рус ООО; КРКА Рус
Тева Оперейшнс Поланд Сп.з.о.о.; Тева Оперейшнс Поланд Сп з о о
Плива Хрватска д.о.о.; Плива Хрватска д о о
КРКА, д.д., Ново место/уп.Вектор-Медика ЗАО; ['КРКА, д.д., Ново место', '.Вектор-Медика']
Берлин-Хеми/Менарини Фарма ГмбХ; ['Берлин-Хеми', 'Менарини Фарма ГмбХ']
Плива Хрватска д.о.о./пр.Тева Оперейшнс Поланд Сп. з о.о.; ['Плива Хрватска д.о.о.', 'Тева Оперейшнс Поланд Сп. з о.о.']
Лаборатории Роза-Фитофарма; Лаборатории Роза Фитофарма
Джонсон и Джонсон ООО/пр.Фамар Орлеан; ['Джонсон и Джонсон', 'Фамар Орлеан']
Европа-Биофарм НПО ЗАО; Европа Биофарм
Канонфарма Продакшн ЗАО/пр.Завод имени академика В.П. Филатова; ['Канонфарма Продакшн', 'Завод имени академика В.П. Филатова']
Ирбитский ХФЗ ОАО; Ирбитский ХФЗ
ЛЕККО ФармФирма ЗАО/пр.Отисифарм АО; ['ЛЕККО ФармФирма', 'Отисифарм']
Берлин-Фарма ЗАО/пр.Берлин-Хеми АГ; ['Берлин-Фарма', 'Берлин-Хеми АГ']
СИЛМА ТНК ООО; СИЛМА ТНК
Эбботт Хелскеа Продактс Б.В./пр.Верофарм АО; ['Эбботт Хелскеа Продактс Б.В.', 'Верофарм']
Отисифарм АО/пр.Фармстандарт-Лексредства ОАО; ['Отисифарм', 'Фармстандарт-Лексредства']
Сотекс/Санкт-Петербургская ФФ ОАО (ГаленоФарм); ['Сотекс', 'Санкт-Петербургская ФФ  (ГаленоФарм)']
Дельфарм Реймс; Дельфарм Реймс
А.Наттерманн энд Сие. ГмбХ; А Наттерманн энд Сие ГмбХ
Байер Биттерфельд ГмбХ; Байер Биттерфельд ГмбХ
Белмедпрепараты РУП; Белмедпрепараты РУП
Рекитт Бенкизер Хелскэр Интернешнл Лтд/пр.Патеон Софтджелс Б.В.; ['Рекитт Бенкизер Хелскэр Интернешнл Лтд', 'Патеон Софтджелс Б.В.']
Фармстандарт-Томскхимфарм ОАО/пр.Фармстандарт-Лексредства ОАО; ['Фармстандарт-Томскхимфарм', 'Фармстандарт-Лексредства']
Вертекс АО (Россия); Вертекс  Россия
Зентива Саалык Юрюнлери Санайи ве Тиджарет А.Ш.; Зентива Саалык Юрюнлери Санайи ве Тиджарет А Ш
Такеда ГмбХ; Такеда ГмбХ
Берлин-Хеми/Менарини Фарма ГмбХ/Адэр Фармасьютиклс С.р.л./Эдванс Фарма ГмбХ/Берлин-Хеми АГ; ['Берлин-Хеми', 'Менарини Фарма ГмбХ', 'Адэр Фармасьютиклс С.р.л.', 'Эдванс Фарма ГмбХ', 'Берлин-Хеми АГ']
Актавис АО/Здравле ХФЗ АО; ['Актавис', 'Здравле ХФЗ']
Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ/пр.Пфайзер Фармасьютикалз ЭлЭлСи; ['Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ', 'Пфайзер Фармасьютикалз ЭлЭлСи']
ПроБиоФарм ООО; ПроБиоФарм
Берлин-Хеми/Менарини Фарма ГмбХ/пр.Даичи Санкио Юроуп ГмбХ; ['Берлин-Хеми', 'Менарини Фарма ГмбХ', 'Даичи Санкио Юро ГмбХ']
Долоргит ГмбХ и Ко.КГ; Долоргит ГмбХ и Ко КГ
Балканфарма-Дупница АД/Здравле  ХФЗ АО; ['Балканфарма-Дница АД', 'Здравле  ХФЗ']
Нижфарм АО; Нижфарм
Институт де Ангели С.р.Л.; Институт де Ангели С р Л
Санофи Винтроп Индустрия; Санофи Винтроп Индустрия
Фармцентр ВИЛАР ЗАО; Фармцентр ВИЛАР
Гедеон Рихтер ОАО/уп.Гедеон Рихтер-РУС; ['Гедеон Рихтер', '.Гедеон Рихтер-РУС']
Производство Медикаментов ООО (ПроМед ООО); Производство Медикаментов  ПроМед
Санофи Россия АО/пр.Зентива к.с.; ['Санофи Россия', 'Зентива к.с.']
Пфайзер Италия С.р.Л.; Пфайзер Италия С р Л
Актавис Групп АО/пр.Актавис Лтд; ['Актавис Грп', 'Актавис Лтд']
Ксантис Фарма Лимитед/пр.Актавис Лтд; ['Ксантис Фарма Лимитед', 'Актавис Лтд']
Такеда Фарма А/С/пр.Такеда Айлэнд Лимитед; ['Такеда Фарма А', 'С', 'Такеда Айлэнд Лимитед']
Алкалоид АД Скопье; Алкалоид АД Скопье
Гедеон Рихтер ОАО/Гедеон Рихтер-РУС; ['Гедеон Рихтер', 'Гедеон Рихтер-РУС']
Санофи-Авентис де Мексико С.А. де С.В.; Санофи Авентис де Мексико С А де С В
Хемофарм АД; Хемофарм АД
