group;name_item;href_name;price;street;region;seller
['1-komnatnye'];1-к. квартира, 39,3 м², 11/25 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_393m_1125et._2437324052;4900000.0;ул. Космонавтов, д. 18;р-н Советский;РАЗУМ  Девелоперская компания
['1-komnatnye'];1-к. квартира, 35,5 м², 14/25 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_355m_1425et._3044826130;4480000.0;ул. Космонавтов, д. 18;р-н Советский;РАЗУМ  Девелоперская компания
['1-komnatnye'];1-к. квартира, 46 м², 8/17 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_46m_817et._2445387359;4800000.0;ул. Брестская/Автомобильная/пер. 1-й Таманский, д. 2;р-н Советский;Бруклин Жилой Квартал
['1-komnatnye'];1-к. квартира, 46,5 м², 12/15 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_465m_1215et._2509273196;5450000.0;ул. Трофимова, стр. 1;р-н Советский;"ООО ""Буран"", ЖК ""Лотос Парк"""
['1-komnatnye'];1-к. квартира, 51,8 м², 14/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_518m_1416et._2733639796;5550000.0;ул. Трофимова, д. 10;р-н Советский;None
['1-komnatnye'];1-к. квартира, 37,5 м², 13/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_375m_1316et._3091620732;4200000.0;ул. Минусинская, уч. 8г, стр. 2;р-н Кировский;АКСИОМА | Квартиры в новостройках Астрахани от застройщика
['1-komnatnye'];1-к. квартира, 35 м², 4/4 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_35m_44et._2665263737;3314500.0;ул. 1-я Воскресенская, д. 2;р-н Советский;АЛЕГРАНТ-ГРУПП
['1-komnatnye'];1-к. квартира, 35 м², 18/25 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_35m_1825et._2437439517;4650000.0;ул. Космонавтов, д. 18;р-н Советский;РАЗУМ  Девелоперская компания
['1-komnatnye'];1-к. квартира, 38,3 м², 6/24 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_383m_624et._2822732360;4597200.0;ул. Савушкина, стр. 1;р-н Ленинский;СЗ Тайгер
['1-komnatnye'];1-к. квартира, 39,3 м², 6/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_393m_616et._2659241264;3985020.0;ул. Калинина, з/у 19;р-н Кировский;ЖК Калина Парк
['1-komnatnye'];1-к. квартира, 37,1 м², 1/4 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_371m_14et._2665595319;2953160.0;ул. 1-я Воскресенская, д. 2;р-н Советский;АЛЕГРАНТ-ГРУПП
['1-komnatnye'];1-к. квартира, 48,9 м², 7/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_489m_79et._2780518932;3850000.0;ул. Набережная р. Царев, д. 89;р-н Советский;None
['1-komnatnye'];1-к. квартира, 50,1 м², 20/21 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_501m_2021et._2160631934;8016000.0;ул. Трофимова, д. 7А, корп. 1;р-н Советский;Московские кварталы, квартиры в центре Астрахани
['1-komnatnye'];1-к. квартира, 38,6 м², 3/4 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_386m_34et._2664833739;3145900.0;ул. 1-я Воскресенская, д. 2;р-н Советский;АЛЕГРАНТ-ГРУПП
['1-komnatnye'];1-к. квартира, 41,9 м², 2/24 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_419m_224et._2548669830;5440000.0;ул. Бехтерева, стр. 3;р-н Кировский;"""Прогресс"" Девелоперская компания"
['1-komnatnye'];1-к. квартира, 46,1 м², 2/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_461m_216et._2659178191;4287300.0;ул. Калинина, з/у 19;р-н Кировский;ЖК Калина Парк
['1-komnatnye'];1-к. квартира, 52,6 м², 19/21 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_526m_1921et._2160235517;6770000.0;ул. Трофимова, д. 7А, корп. 1;р-н Советский;Московские кварталы, квартиры в центре Астрахани
['1-komnatnye'];1-к. квартира, 46,5 м², 12/15 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_465m_1215et._2509363400;5450000.0;ул. Трофимова, стр. 1;р-н Советский;"ООО ""Буран"", ЖК ""Лотос Парк"""
['1-komnatnye'];1-к. квартира, 41,9 м², 3/24 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_419m_324et._2548683901;5440000.0;ул. Бехтерева, стр. 3;р-н Кировский;"""Прогресс"" Девелоперская компания"
['1-komnatnye'];1-к. квартира, 34,9 м², 23/23 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_349m_2323et._2373262455;5670000.0;ул. Набережная Приволжского затона, стр. 4;р-н Советский;РАЗУМ  Девелоперская компания
['1-komnatnye'];1-к. квартира, 41 м², 6/10 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_41m_610et._2647622448;3215360.0;ул. Адмирала Макарова, жилой дом;р-н Советский;RES застройщик г. Астрахань
['1-komnatnye'];1-к. квартира, 38,6 м², 1/4 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_386m_14et._2665011231;2995360.0;ул. 1-я Воскресенская, д. 2;р-н Советский;АЛЕГРАНТ-ГРУПП
['1-komnatnye'];1-к. квартира, 38 м², 10/21 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_38m_1021et._2785348368;5200000.0;ул. Ахшарумова, д. 29, лит. 2.1;р-н Советский;None
['1-komnatnye'];1-к. квартира, 49,2 м², 8/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_492m_89et._2691843724;5769800.0;ул. Бакинская, д. 87;р-н Кировский;"ООО СЗ ""ИФК ""Астрстройинвест"""
['1-komnatnye'];1-к. квартира, 48,6 м², 3/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_486m_39et._2692611202;5547100.0;ул. Бакинская, д. 87;р-н Кировский;"ООО СЗ ""ИФК ""Астрстройинвест"""
